,site,company,title,price,ratingreview,url,status,redirect_url
0,flipkart,mi,"REDMI 10A (Charcoal Black, 64 GB)","₹8,574",4.2,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/mobile/y/x/f/10a-b09xb8gm9r-redmi-original-imagdrghswubhh2p.jpeg?q=70,Available,https://www.flipkart.com/redmi-10a-charcoal-black-64-gb/p/itm755830dd54ae1?pid=MOBGHXQYVFTQKBTR&lid=LSTMOBGHXQYVFTQKBTRCWN1LZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBGHXQYVFTQKBTR.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
1,flipkart,mi,"REDMI 10A (Charcoal Black, 32 GB)","₹7,825",4.1,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/mobile/y/x/f/10a-b09xb8gm9r-redmi-original-imagdrghswubhh2p.jpeg?q=70,Available,https://www.flipkart.com/redmi-10a-charcoal-black-32-gb/p/itm755830dd54ae1?pid=MOBGDRGHYWAAZDVD&lid=LSTMOBGDRGHYWAAZDVDUANHUR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBGDRGHYWAAZDVD.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
2,flipkart,mi,"REDMI Note 11T 5G (Matte black, 128 GB)","₹17,999",4.2,https://rukminim1.flixcart.com/image/312/312/kwv0djk0/mobile/n/t/m/note-11t-21091116ai-mzb0a8qain-redmi-original-imag9g3hxujubg8g.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11t-5g-matte-black-128-gb/p/itm0dd08e65983e7?pid=MOBG9G5UBHV9HC8Y&lid=LSTMOBG9G5UBHV9HC8YZDCDC0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBG9G5UBHV9HC8Y.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
3,flipkart,mi,"Redmi 9A Sport (Coral Green, 32 GB)","₹6,736",4.2,https://rukminim1.flixcart.com/image/312/312/ku5ufm80/mobile/s/i/q/sport-9a-redmi-original-imag7chxqqu7h5hs.jpeg?q=70,Available,https://www.flipkart.com/redmi-9a-sport-coral-green-32-gb/p/itm53bc6ebfe147b?pid=MOBG7CHHZ2MUWAZ4&lid=LSTMOBG7CHHZ2MUWAZ4CUYCKA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBG7CHHZ2MUWAZ4.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
4,flipkart,mi,"Redmi 9A Sport (Carbon Black, 32 GB)","₹7,585",4.2,https://rukminim1.flixcart.com/image/312/312/ku5ufm80/mobile/8/b/1/sport-9a-redmi-original-imag7chjvhxdhhyh.jpeg?q=70,Available,https://www.flipkart.com/redmi-9a-sport-carbon-black-32-gb/p/itm53bc6ebfe147b?pid=MOBG7CJMHFQJFCX3&lid=LSTMOBG7CJMHFQJFCX3JQ8EOG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBG7CJMHFQJFCX3.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
5,flipkart,mi,"Redmi 9A Sport (Metallic Blue, 32 GB)","₹7,938",4.2,https://rukminim1.flixcart.com/image/312/312/kuef2q80/mobile/w/j/r/redmi-9a-sport-9a-mi-original-imag7gy6tzuz3hk8.jpeg?q=70,Available,https://www.flipkart.com/redmi-9a-sport-metallic-blue-32-gb/p/itm53bc6ebfe147b?pid=MOBG7H8GFGZPYUFH&lid=LSTMOBG7H8GFGZPYUFHEYOMMJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBG7H8GFGZPYUFH.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
6,flipkart,mi,"REDMI Note 11T 5G (Matte black, 128 GB)","₹16,927",4.2,https://rukminim1.flixcart.com/image/312/312/kwv0djk0/mobile/n/t/m/note-11t-21091116ai-mzb0a8qain-redmi-original-imag9g3hxujubg8g.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11t-5g-matte-black-128-gb/p/itm0dd08e65983e7?pid=MOBG9G3MPVGC86X3&lid=LSTMOBG9G3MPVGC86X3NF6VS0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBG9G3MPVGC86X3.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
7,flipkart,mi,"Redmi Note 11 (Starburst White, 128 GB)","₹15,749",4.2,https://rukminim1.flixcart.com/image/312/312/kzfvzww0/mobile/t/f/s/note-11-2201117ti-redmi-original-imagbgaqje2mygjm.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11-starburst-white-128-gb/p/itm2a388ca843b21?pid=MOBGBGAYPKGYBUA2&lid=LSTMOBGBGAYPKGYBUA2TUTZZ6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBGBGAYPKGYBUA2.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
8,flipkart,mi,"Redmi Note 11 (Space Black, 64 GB)","₹12,445",4.2,https://rukminim1.flixcart.com/image/312/312/kzhbfrk0/mobile/k/d/j/note-11-2201117ti-redmi-original-imagbh8dmpjfzrjw.jpeg?q=70,Available,https://www.flipkart.com/redmi-note-11-space-black-64-gb/p/itm2a388ca843b21?pid=MOBGBHCKZNYYG5QA&lid=LSTMOBGBHCKZNYYG5QAXIEPR8&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBGBHCKZNYYG5QA.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
9,flipkart,mi,"REDMI 10A (Slate Grey, 32 GB)","₹7,523",4.1,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/mobile/h/c/6/10a-b09xb7hv7q-redmi-original-imagdrgp8pkbzccw.jpeg?q=70,Available,https://www.flipkart.com/redmi-10a-slate-grey-32-gb/p/itm755830dd54ae1?pid=MOBGDRGQXGRHUJS2&lid=LSTMOBGDRGQXGRHUJS2UT74ZB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=5a596dfd-3d07-4e69-bb25-1f1c9a0ae327.MOBGDRGQXGRHUJS2.SEARCH&ppt=None&ppn=None&ssid=cnsgil4u740000001667142582861
